==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=88 delta=8 prog=sssp-klsm128  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 88 -delta 8 -wl klsm128 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/clique4000.gr
INFO: Hostname rack-mad-04
Read 4000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
INVALID RUN?  Loop (null) 11.111% system time
INVALID RUN?  Loop (null) possible co-runner, execution took 1.437 than expected (systime=380000 usertime=3040000 measured=55846
Node 1 has distance 3
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87
STAT,(NULL),BadWork,88,38258493,0,0,1312995,0,0,0,0,0,0,353032,1753843,1409736,0,0,0,0,0,716588,0,0,0,0,0,801140,0,0,840548,0,2445544,0,0,730464,1034964,0,0,1118504,1710052,1131300,684192,0,0,1112211,0,0,2313700,0,712127,0,0,0,0,0,671126,0,0,0,1404387,1790704,1072644,0,0,0,0,0,0,0,0,0,2122262,1437504,0,0,0,1447016,1756108,0,0,1231414,0,0,0,0,1479310,2102578,0,0,0,1562500
STAT,(NULL),BarrierTime,88,48365849,744762,1179756,1149743,681964,673600,637694,641174,1007894,1016568,1013740,580806,961346,517356,540351,970216,903101,474461,914486,909259,509618,478300,487328,270996,283339,272764,271078,265512,263636,698116,264182,270044,262266,707659,698509,254498,705217,245678,712861,262884,696412,717596,695352,691612,246633,342916,262113,709734,321281,715274,355807,276602,710280,708828,710386,287174,290876,291710,714878,713545,710477,690311,280760,713736,229497,682579,251263,547702,97681,549095,574791,550176,573594,556352,574870,559294,588367,573675,588740,548813,567270,550347,138435,559463,566186,559703,149071,46512,625318
STAT,(NULL),ConflictTime,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,88,603151583,10513175,6247941,7207042,5517472,6457147,7094329,5249250,7387041,6384676,7349724,7288296,6309061,5607936,7388373,6316348,7610028,6317458,6357316,7270165,6256851,6263887,4748360,6233355,7509186,6688778,7552555,7249007,6399340,7666539,6396608,7280416,10780169,6636002,5450052,7284801,6461128,6882979,5724568,4964752,7287072,7122068,5342108,6416939,6270653,8526136,7355678,6124392,6720769,7265856,9401935,5143504,6213348,7266718,6266529,6574997,6288791,6314063,7318589,6762054,6078371,10516563,5287804,6982252,6234659,6519984,10638252,6331954,6598116,7200086,7385091,7450654,6248220,7455963,7252690,7180166,6262380,5533004,6253984,7262275,6509625,6318188,9938077,6498042,7170956,7082198,6333368,6075334,6269017
STAT,(NULL),EmptyWork,88,4993707,0,66543,98630,100692,115875,101128,92607,0,130612,136941,101246,53823,123840,79936,97504,60752,58308,96916,95525,127902,37588,312,81620,78540,83374,56327,48849,102655,87506,109547,50224,2557,116942,380,111176,52351,84254,80392,85488,41211,104756,38742,75252,60256,2532,60851,72334,62231,61722,357,50421,57966,27521,62229,33582,4589,114323,19524,62120,28389,3153,29996,80517,21196,59903,4175,44917,29608,41412,24307,26059,45130,21276,41441,59600,62756,0,47152,23215,385,21162,24612,41129,33650,30270,48508,46426,31982
STAT,(NULL),GaloisTime,88,153601950,1752505,1719180,2297000,2114296,1622969,1901526,1487596,1032067,1808428,1946989,1797136,1698498,1687192,1898745,1879984,1847209,1720643,1718643,1792809,1722780,1706425,1432560,2261636,1656814,1460671,1836951,1748933,1656464,1644505,1494768,1675303,1496148,1778996,1148113,1802129,2013480,1755302,1653868,1567360,1804963,2014028,1389368,1610956,1572397,2104729,2234756,1566530,1695552,1881453,1482379,1267962,1725771,1552207,1461782,2099177,1594068,2207052,1742524,1714065,1620187,1361542,1876869,2082981,1543677,2122295,1676821,2307061,1779940,1797203,1655436,1754550,1584628,1744759,1814456,1868212,2195776,1382457,2175678,2204919,1399265,1741709,1617337,1605431,1807870,1806301,1861884,1601280,1653086
STAT,(NULL),InitPushTime,88,12737796,165604,96004,94380,93600,92808,94400,92392,92676,95620,96944,92480,91680,94836,93116,94644,96360,96184,93800,94996,101960,95712,95616,192720,192419,192661,193695,195654,195646,194605,192823,191928,175978,164919,169583,190146,168623,187161,169766,185423,173044,165983,181016,178750,184448,129904,118128,119808,115540,116956,105688,116588,121192,119064,117112,113004,115872,120688,121428,115044,120364,135168,118860,114616,119580,106428,107028,169436,196093,169041,196218,163240,198168,167838,196013,168226,197670,167852,194949,170024,194839,169444,194121,169598,195837,167757,198183,242037,70349
STAT,(NULL),Iterations,88,22425,28,273,393,536,461,410,382,40,641,509,376,234,645,335,497,259,245,388,391,502,166,66,330,323,339,244,221,418,349,437,216,55,459,51,394,226,347,438,472,185,554,175,305,202,57,257,243,265,266,52,231,244,137,268,169,64,454,103,270,153,56,153,327,125,253,59,194,191,194,121,125,193,112,179,247,346,39,274,112,41,110,123,177,155,142,267,200,160
STAT,(NULL),LoopTime,88,122941556,122941556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,88,704,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),MeminfoPre,88,704,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),NumaPost,88,11295,5804,1500,2538,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,88,611149874,1386425,6793594,7359422,7364892,7947190,7680693,7184773,6046541,7769620,7904557,7820046,6591505,7297544,6783554,6357224,6515395,6883507,7080974,8023373,7075618,6911975,7575256,7459001,7126383,7435234,6925323,6846806,8748679,7439524,7710401,6809378,3296296,7074846,7127841,7817585,6691417,7765233,7075532,7404076,6200999,7694776,6800881,6174543,7121963,4981513,7476056,7383210,7323676,7850450,2808427,7611905,7427994,6801811,8214947,6430678,7160684,8396448,7196709,7806671,7335106,4045405,6427101,7676823,7095592,7475128,3177504,7213524,7057872,8485312,7003267,6821020,7566307,6915176,7568934,7522538,6856584,6715190,8021744,7053523,5634103,6254065,3381398,7280443,7473162,7299513,7335100,8220613,8266253
STAT,(NULL),PushTime,88,4565917173,59167155,58552297,56333808,45453376,50172360,56208680,51935524,57191430,49598456,55903831,45602553,55447641,45200528,45696459,45428776,54894117,55549329,56927056,44237590,54643863,56999218,45202402,56752257,54379905,55070797,46591262,46578821,43592821,59666704,58567362,58812197,45448048,58707753,46224275,48164095,55434735,45937746,46364514,40948462,58743080,48622682,56666111,55998370,54412479,43055083,47452279,56782067,54533456,43549709,45844379,46503120,52455320,56552411,43008378,43614248,43381945,46131192,53211955,42525439,42537510,46065652,53639217,51203047,44625123,52513614,46175537,58707327,46154302,47122776,55646092,59055320,58469620,53069282,59286987,58603934,55230116,59136128,45531570,59065312,58675132,58742609,55525583,59267458,58756291,58647392,55878558,55344830,46608948
STAT,(NULL),RusageSys,88,380000,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,88,3040000,3040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,88,176087032,176087032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,88,2462118249,2462118249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,88,4653077708,48032912,46918272,47388142,60125424,53957874,47267677,54348835,48648541,54580034,47060190,57613301,50182027,60301776,58552607,60212916,49308210,49725347,48119168,58830456,50446573,48380240,61265988,48071276,49530586,49512125,57427690,57788316,59776322,43783307,46016620,45607132,59268089,45979249,60337849,55072454,49991847,57875523,59390102,65285062,46316794,54744978,50054472,50010262,50857455,62190577,56135911,48337206,50052652,59661622,60742989,59693116,52398368,48060867,61249465,61925992,61851417,57582154,50783858,61400649,62658623,58667813,53401110,52623829,60744827,51981490,58610311,46251493,58644914,55615398,48512008,45171311,46343606,51080060,44322025,45024865,50048608,47474195,58635898,45043677,48048867,47218047,49732084,45564684,44990606,45356610,48844510,48975630,57459746
STAT,(NULL),Work,88,10665206485,121418561,121016565,121018267,121438768,121446532,121444811,121441401,121018576,121008918,121011959,121442698,121021704,121465296,121443044,121011200,121018219,121445909,121009702,121014158,121401991,121441229,121434906,121431399,121416453,121424442,121432973,121440590,121442713,121004729,121440529,121434325,121433575,120996682,121002825,121430326,120997834,121439884,120982007,121420208,121004469,120982929,120994880,121000756,121442668,121440921,121444162,120997553,121388015,120992080,121426318,121435238,120996824,120997495,120996818,121429375,121418115,121415414,120988156,120994949,120993091,120998432,121422920,120994373,121430899,120988361,121421302,120997784,121469206,120995318,120990742,121005712,120989099,120982987,120989217,120989917,120974071,120988529,120976544,120997154,120997444,120999720,121423220,120986553,120997188,120994401,121414752,121437842,120986664
STAT,(NULL),nBad,88,72940,0,0,2613,0,0,0,0,0,0,479,2979,2117,0,0,0,0,0,788,0,0,0,0,0,1226,0,0,1280,0,5350,0,0,1755,1809,0,0,3164,4000,1712,1221,0,0,1605,0,0,4000,0,1856,0,0,0,0,0,1512,0,0,0,4000,4000,2612,0,0,0,0,0,0,0,0,0,2848,3216,0,0,0,2027,4000,0,0,4000,0,0,0,0,2107,2763,0,0,0,1901
STAT,(NULL),nEmpty,88,18395,0,234,353,472,416,371,337,0,583,469,327,192,581,286,432,218,204,347,342,460,126,1,290,281,298,196,172,368,312,399,178,5,420,1,348,184,299,374,402,146,496,133,263,160,5,210,202,223,216,1,181,200,96,217,117,12,406,61,218,100,7,108,283,74,210,10,156,129,148,80,88,155,70,142,210,293,0,212,75,1,71,82,139,118,105,216,160,112
STAT,(NULL),nEmptyPop,88,321851,1477,3561,4112,4115,3382,4102,2982,912,4620,4113,4133,3459,4129,4106,4660,4065,3506,3506,4109,3553,3537,3587,3501,4075,3517,4121,4117,3532,4032,3525,4050,3485,3466,2171,4077,3541,3517,3992,3297,4025,5142,2850,3481,3440,3474,4031,3393,3536,4003,3200,2906,3450,4054,3493,3534,3655,3444,4032,3444,3493,1046,2894,3573,3566,3430,3638,3471,4604,4037,4063,4100,3491,4108,4058,4059,4704,3264,4630,4108,2703,3452,3537,3551,4081,4124,4680,3526,3531
STAT,(NULL),nOverall,88,16068940,112000,156000,158613,256000,180000,156000,180000,160000,232000,156479,190979,166117,256000,196000,260000,164000,164000,160788,196000,168000,160000,260000,160000,165226,164000,192000,193280,200000,145350,152000,152000,197755,153809,200000,184000,167164,192000,253712,277221,156000,232000,165605,168000,168000,208000,188000,161856,168000,200000,204000,200000,176000,161512,204000,208000,208000,192000,168000,206612,212000,196000,180000,176000,204000,172000,196000,152000,248000,182848,163216,148000,152000,168000,146027,148000,212000,156000,248000,148000,160000,156000,164000,150107,146763,148000,204000,160000,189901
STAT,(NULL),nPop,88,22425,28,273,393,536,461,410,382,40,641,509,376,234,645,335,497,259,245,388,391,502,166,66,330,323,339,244,221,418,349,437,216,55,459,51,394,226,347,438,472,185,554,175,305,202,57,257,243,265,266,52,231,244,137,268,169,64,454,103,270,153,56,153,327,125,253,59,194,191,194,121,125,193,112,179,247,346,39,274,112,41,110,123,177,155,142,267,200,160
STAT,(NULL),nPush,88,18426,91,92,157,207,470,83,215,130,863,91,105,89,131,249,140,86,85,86,233,88,91,157,159,213,222,172,101,248,105,217,130,275,154,142,140,418,172,117,505,199,603,95,150,86,431,322,276,278,299,280,316,277,289,899,251,332,246,290,382,571,314,375,404,241,408,243,67,131,77,339,83,68,83,70,68,150,87,127,77,96,69,86,65,68,68,93,88,80
STAT,(NULL),nPushInit,88,3999,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,44,0
==== BENCHMARK TOOK 2.011
