==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=32 delta=8 prog=sssp-klsm2  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 32 -delta 8 -wl klsm2 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/clique4000.gr
INFO: Hostname rack-mad-04
Read 4000 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 3
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31
STAT,(NULL),BadWork,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),BarrierTime,32,170114894,4705392,2093624,471200,444012,4497844,460672,768320,300760,353516,1618904,710872,1984824,1467104,2511100,853012,2479988,266744,3307256,1096208,241976,897148,57248,12953516,13603340,14538954,15450304,15025740,13067770,12679322,12859764,14544872,13803588
STAT,(NULL),ConflictTime,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,32,24853981,725489,479728,739232,930616,655812,772616,427048,1233156,520232,982668,684056,427144,1075416,1116808,773268,1152292,454048,712656,589404,1073364,309008,913948,825888,569352,361634,1049756,644368,600524,1309740,459576,1128416,1156718
STAT,(NULL),EmptyWork,32,3836816,23862,112240,96012,124180,100600,104996,87320,129304,120680,109236,121164,81576,97704,109012,123580,107688,113568,103840,102452,111436,115676,103876,160348,158820,160626,147452,160192,163386,128596,183552,142944,130898
STAT,(NULL),GaloisTime,32,24048723,582565,755680,732024,754716,693364,749720,704228,768020,750988,693780,748864,686804,731380,708604,768668,752788,680560,758396,740204,744480,724852,740888,840580,822636,789996,842740,840052,801332,757460,845656,776556,760142
STAT,(NULL),InitPushTime,32,757313451,24652356,27249792,28841444,28581684,24757304,28527072,28420648,28861552,28808648,27545164,28450420,27137336,27415052,26375992,28269400,26585064,28804696,25517240,27942992,28580028,28173440,28797236,15784132,15141974,14195744,13255470,13708890,15662428,16296972,15879110,14203455,14890716
STAT,(NULL),Iterations,32,20625,121,622,548,675,562,587,506,701,667,607,658,490,552,564,678,606,616,586,579,617,634,583,841,831,783,788,841,795,649,956,725,657
STAT,(NULL),LoopTime,32,474152950,474152950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,32,256,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),MeminfoPre,32,256,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
STAT,(NULL),NumaPost,32,7767,5769,908,1047,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,32,275391372,6334898,9370548,7868812,9788832,8584312,8709188,8479020,8666936,7857756,8830644,9426952,6909128,6839248,7782316,8296140,6972344,7384764,9125956,8070076,8099864,9095188,7188364,10059232,9883036,10028386,11297168,10768864,8216782,7541504,11142236,9576260,7196618
