==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=88 delta=8 prog=sssp-klsm32  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 88 -delta 8 -wl klsm32 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/random/r4-2e24.gr
INFO: Hostname rack-mad-04
Read 16777216 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 8445
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87
STAT,(NULL),BadWork,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),BarrierTime,88,44314542,1088519,1043770,962162,937626,915119,935194,920222,862260,822363,826533,826751,868700,448339,828359,827961,764680,770088,719543,728367,728379,720365,728859,554054,623019,624166,247283,269495,541919,266146,255709,540814,265005,258656,485019,544431,529083,606187,608844,609722,530227,256341,531945,609521,611038,524696,524301,523897,523924,144357,145164,523358,523822,524042,523667,524389,142645,523976,422484,524110,523609,522198,399438,523888,521147,514846,522643,398858,399084,398352,38456,398431,38156,397914,398843,31343,33795,35422,44586,398315,398467,398700,397608,398306,35045,397993,56074,33225,398185
STAT,(NULL),ConflictTime,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,88,13317907386,166970210,156402343,151822288,117822158,114589436,202797813,110679811,175245389,151497173,155880190,159707130,112268166,198127914,147018145,152701475,132985879,185304940,153834903,160915810,158754164,117330078,133193911,193324969,106912121,148944615,114701872,145236161,128060683,138102489,123787023,144374125,196006631,144441984,121622491,141223205,153659681,149206973,149023310,135840441,129891477,126946832,144342559,170319370,176495480,137944888,207444911,163281935,192684129,122491454,184692200,171248252,131231817,151068657,140995404,155590447,174252732,170365649,128670140,155118070,190359374,154138995,129669120,190581959,124951007,158542598,191803327,119010549,149701175,151109668,181424254,187209044,151146268,126050758,192101763,149054372,161713689,161840595,152380370,117261270,133471760,106463138,162973448,143804451,153917823,187240419,125733790,115954581,162903318
STAT,(NULL),EmptyWork,88,3152457853,10388418,24109352,24078676,32609065,30236628,32592812,23741488,21454460,24237414,30071302,30556668,31869126,29735165,31700274,21084848,21130678,22338275,30953653,30362995,22437302,19698203,20082193,40390726,35978907,41419847,51037113,52103075,57332109,39688064,37270276,55829878,50068964,52496109,55557746,54046693,56099007,31512558,26525083,30745606,55190336,53597661,58361780,31012299,29560208,29159943,27819228,31922008,38747839,37860626,41136912,27439043,28892805,40919832,38298037,39958057,42136684,38353564,42020983,22530323,22333258,23614651,41389977,38766743,44330120,22281913,22495584,34050627,31884061,37608480,43474792,44556028,46554874,32972687,32034184,47814910,43146074,45398589,47804936,42774577,46520721,25380857,27034825,27559900,44830924,44602415,47801087,28048521,26902614
STAT,(NULL),GaloisTime,88,19303448360,54719393,116509486,122165974,168932701,150478859,164564305,119857815,114031770,118445068,156670920,156568658,162640179,147268904,169018836,101442700,96354965,100738778,156348402,159072239,107106800,97973882,99619476,259950728,236015952,272768336,309087170,341272859,369410063,248932459,244343405,367241902,339034160,347953495,368361090,350830681,368510646,195210367,170624819,196225797,356819675,352226685,383214606,193808397,181554022,194732792,186395742,204546913,262458672,258493123,274314512,187781830,191153532,277549294,252607386,263438451,265283595,251864851,272626313,145931614,143594552,151377433,266397652,261052385,291918300,147014180,149223320,201335454,181990276,215763047,281881637,275814383,297738449,187426427,195299195,296915836,265067265,284460960,293495754,270528705,290181186,121947821,138701298,155466583,283245391,274451874,304303750,146020821,147728382
STAT,(NULL),InitPushTime,88,5423791,63041,58870,141279,39236,36387,39400,36547,36484,36636,35986,35452,35561,35240,34860,35752,37910,36912,35843,35397,35955,35743,35555,71705,82229,82729,72142,74114,72075,72454,72066,73192,33667,32960,32162,32144,31313,32272,32151,31786,31376,30606,29932,31043,30843,140031,84904,86405,137314,139078,138737,137186,85131,84224,83051,84069,82999,82839,82902,82469,84029,84313,83311,83818,46479,66955,82366,118976,119108,118375,118609,118419,44015,43956,43076,44785,42526,43354,41257,44462,41397,42116,41566,41324,42497,42753,43399,42724,43480
STAT,(NULL),Iterations,88,22444659,60499,149153,153750,213045,191220,204909,152181,145095,151730,194653,197528,203964,183420,212089,130834,127063,132426,196325,198765,138291,125729,128357,294997,269654,306330,361102,383335,420029,284575,275568,417114,384636,394869,416693,396510,413403,224454,194552,221796,406289,400031,434979,220130,207875,215865,208123,228915,294712,290398,307350,208965,212718,310267,282609,297164,303675,284575,310065,164829,160690,170177,302384,292368,328223,162901,166750,237812,219411,254182,328980,318592,343672,224799,233034,344169,308703,330608,340873,315824,335745,159038,171536,191381,329034,321011,350425,178811,183349
STAT,(NULL),LoopTime,88,127782260900,127782260900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
