==== BENCHMARK START ===
==== PARAMS kernel=4.9.5-64-net1 malloc=libc hostname=rack-mad-04 threads=16 delta=8 prog=sssp-klsm8  ===
ERROR: ld.so: object '/specific/disk1/home/adamx/malloc/lib64/libjemalloc.so' from LD_PRELOAD cannot be preloaded (cannot open shared object file): ignored.
Galois Benchmark Suite v2.2.1 (r0)
Copyright (C) 2014 The University of Texas at Austin
http://iss.ices.utexas.edu/galois/

application: Single Source Shortest Path
Computes the shortest path from a source node to all nodes in a directed graph using a modified chaotic iteration algorithm
http://iss.ices.utexas.edu/?p=projects/galois/benchmarks/single_source_shortest_path

INFO: CommandLine ./build/debug/apps/sssp/sssp -noverify -t 16 -delta 8 -wl klsm8 -startNode 0 /specific/disk1/home/mad/Galois-PQ/inputs/road/USA-road-d.USA.gr
INFO: Hostname rack-mad-04
Read 23947347 nodes
Running Asynchronous with CAS version
INFO: Using delta-step of 1
WARNING: Performance varies considerably due to delta parameter.
WARNING: Do not expect the default to be good for your graph.
Node 1 has distance 2025
STATTYPE,LOOP,CATEGORY,n,sum,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
STAT,(NULL),BadWork,16,3438025,351533,310625,158904,162274,211229,198002,194146,249064,247494,143214,249621,189485,249547,143943,128426,250518
STAT,(NULL),BarrierTime,16,2138877,286115,244312,197026,165953,164839,165189,166397,84914,89193,92006,91890,92646,93164,91692,90907,22634
STAT,(NULL),ConflictTime,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Conflicts,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),EmptyPopTime,16,70292402327,7638516980,4192446753,4173707830,4121613029,4139284807,4150582494,4177798860,4420627167,4173808425,4139864054,4181729316,4099461917,4137467556,4112777431,4191749491,4240966217
STAT,(NULL),EmptyWork,16,573959654,21700674,36697247,36821589,37985838,38261016,36720615,36942643,35165111,36716141,36934396,36797514,36881157,36887471,36893276,36539154,36015812
STAT,(NULL),GaloisTime,16,28836566868,1135095987,1842663938,1850782113,1864555571,1868562998,1871458684,1854832890,1771854572,1848293146,1862599451,1863250975,1862727107,1856632825,1859700417,1828577049,1794979145
STAT,(NULL),InitPushTime,16,641252,64040,11016,94646,37725,37822,37531,37874,36960,36544,35923,35516,35355,35255,34666,35376,35003
STAT,(NULL),Iterations,16,25661672,834542,1653958,1652913,1675627,1669877,1675613,1657587,1574622,1659101,1674521,1674000,1673935,1667783,1672772,1638586,1606235
STAT,(NULL),LoopTime,16,44261081245,44261081245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),MeminfoPost,16,2208,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
STAT,(NULL),MeminfoPre,16,2208,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
STAT,(NULL),NumaPost,16,10356,8730,225,1200,201,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),PopTime,16,343607583185,21273748533,21457236033,21449923216,21576479588,21582135300,21559768352,21475014658,21331626027,21465119440,21594777058,21528504797,21596456384,21585055408,21578222473,21327380151,21226135767
STAT,(NULL),PushTime,16,199999148686,11627621712,12573785477,12591242789,12477134946,12456075425,12449502379,12548428317,12726169936,12575397291,12439648903,12457507651,12479662479,12471865826,12491583229,12733733231,12899789095
STAT,(NULL),RusageSys,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),RusageUser,16,320000000,320000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Threads,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),Time,16,44283576500,44283576500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),TotalTime,16,53634944960,53634944960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAT,(NULL),UserTime,16,59830241695,2249559425,3843414680,3843766210,3868475500,3861924103,3878212063,3853226406,3660800818,3846910011,3872419699,3878454303,3871054032,3858334885,3867067209,3828265077,3748357274
STAT,(NULL),Work,16,703141085389,43946340124,43946316486,43946316143,43946317063,43946316246,43946316884,43946316398,43946316614,43946316419,43946315658,43946316629,43946315739,43946316887,43946315667,43946316735,43946315697
STAT,(NULL),nBad,16,3642,402,322,171,159,215,216,205,262,257,141,264,200,277,152,133,266
STAT,(NULL),nEmpty,16,1712902,56424,110513,110005,111421,111398,111415,110395,105237,110755,111856,111520,111771,111544,111909,109335,107404
STAT,(NULL),nEmptyPop,16,4519883,191507,290173,287743,288000,287577,290651,289341,290628,288888,288772,290706,284763,286468,285915,289546,289205
STAT,(NULL),nOverall,16,58336983,1900508,3759782,3760277,3808050,3795518,3811587,3768630,3578900,3769865,3806094,3805253,3805326,3788827,3801079,3726190,3651097
STAT,(NULL),nPop,16,25661672,834542,1653958,1652913,1675627,1669877,1675613,1657587,1574622,1659101,1674521,1674000,1673935,1667783,1672772,1638586,1606235
STAT,(NULL),nPush,16,25661669,834644,1654437,1654215,1674043,1668874,1677765,1657651,1575283,1657778,1673754,1674687,1673380,1667119,1671533,1640288,1606218
STAT,(NULL),nPushInit,16,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
==== BENCHMARK TOOK 25.207
